Yarlip1	yarrowiacyc	Similarity_Yarlip1.to.yarrowiacyc	Similarity_yarrowiacyc.to.Yarlip1
jgi|Yarlip1|130907|fgenesh1_kg.18_#_104_#_TRINITY_DN3673_c0_g1_i1	gnl|YARROWIA|G1FV3-25675-MONOMER	100.0	100.0
jgi|Yarlip1|130903|fgenesh1_kg.18_#_100_#_TRINITY_DN7699_c0_g1_i1	gnl|YARROWIA|G1FV3-25670-MONOMER	100.0	100.0
jgi|Yarlip1|130898|fgenesh1_kg.18_#_95_#_TRINITY_DN287_c0_g2_i1	gnl|YARROWIA|G1FV3-25668-MONOMER	100.0	100.0
jgi|Yarlip1|130894|fgenesh1_kg.18_#_91_#_TRINITY_DN4785_c0_g1_i1	gnl|YARROWIA|G1FV3-25667-MONOMER	100.0	100.0
jgi|Yarlip1|130892|fgenesh1_kg.18_#_89_#_TRINITY_DN3696_c0_g1_i1	gnl|YARROWIA|G1FV3-25665-MONOMER	100.0	100.0
jgi|Yarlip1|130891|fgenesh1_kg.18_#_88_#_TRINITY_DN8510_c0_g1_i1	gnl|YARROWIA|G1FV3-25664-MONOMER	100.0	100.0
jgi|Yarlip1|130890|fgenesh1_kg.18_#_87_#_TRINITY_DN9436_c0_g1_i1	gnl|YARROWIA|G1FV3-25663-MONOMER	100.0	100.0
jgi|Yarlip1|130889|fgenesh1_kg.18_#_86_#_TRINITY_DN9494_c0_g1_i1	gnl|YARROWIA|G1FV3-25662-MONOMER	100.0	100.0
jgi|Yarlip1|130883|fgenesh1_kg.18_#_80_#_TRINITY_DN427_c0_g1_i1	gnl|YARROWIA|G1FV3-25659-MONOMER	100.0	100.0
jgi|Yarlip1|130909|fgenesh1_kg.18_#_106_#_TRINITY_DN849_c0_g1_i1	gnl|YARROWIA|G1FV3-25678-MONOMER	100.0	100.0
jgi|Yarlip1|130882|fgenesh1_kg.18_#_79_#_TRINITY_DN6996_c0_g1_i1	gnl|YARROWIA|G1FV3-25658-MONOMER	100.0	100.0
jgi|Yarlip1|130877|fgenesh1_kg.18_#_74_#_TRINITY_DN11230_c0_g1_i1	gnl|YARROWIA|G1FV3-25656-MONOMER	100.0	100.0
jgi|Yarlip1|130872|fgenesh1_kg.18_#_69_#_TRINITY_DN10855_c0_g1_i1	gnl|YARROWIA|G1FV3-25654-MONOMER	100.0	100.0
jgi|Yarlip1|130869|fgenesh1_kg.18_#_66_#_TRINITY_DN6372_c0_g1_i1	gnl|YARROWIA|G1FV3-25652-MONOMER	100.0	100.0
jgi|Yarlip1|130862|fgenesh1_kg.18_#_59_#_TRINITY_DN3077_c0_g1_i1	gnl|YARROWIA|G1FV3-25649-MONOMER	100.0	100.0
jgi|Yarlip1|130861|fgenesh1_kg.18_#_58_#_TRINITY_DN3694_c0_g1_i1	gnl|YARROWIA|G1FV3-25648-MONOMER	100.0	100.0
jgi|Yarlip1|130860|fgenesh1_kg.18_#_57_#_TRINITY_DN922_c0_g1_i1	gnl|YARROWIA|G1FV3-25647-MONOMER	100.0	100.0
jgi|Yarlip1|130856|fgenesh1_kg.18_#_53_#_TRINITY_DN7946_c0_g1_i1	gnl|YARROWIA|G1FV3-25644-MONOMER	100.0	100.0
jgi|Yarlip1|130908|fgenesh1_kg.18_#_105_#_TRINITY_DN4104_c0_g1_i1	gnl|YARROWIA|G1FV3-25677-MONOMER	100.0	100.0
jgi|Yarlip1|130912|fgenesh1_kg.18_#_109_#_TRINITY_DN9585_c0_g1_i1	gnl|YARROWIA|G1FV3-25680-MONOMER	100.0	100.0
jgi|Yarlip1|130965|fgenesh1_kg.18_#_162_#_TRINITY_DN7785_c0_g1_i1	gnl|YARROWIA|G1FV3-25709-MONOMER	100.0	100.0
jgi|Yarlip1|130940|fgenesh1_kg.18_#_137_#_TRINITY_DN4989_c0_g1_i1	gnl|YARROWIA|G1FV3-25696-MONOMER	100.0	100.0
jgi|Yarlip1|130964|fgenesh1_kg.18_#_161_#_TRINITY_DN1614_c0_g1_i1	gnl|YARROWIA|G1FV3-25708-MONOMER	100.0	100.0
jgi|Yarlip1|130959|fgenesh1_kg.18_#_156_#_TRINITY_DN1519_c0_g2_i1	gnl|YARROWIA|G1FV3-25706-MONOMER	100.0	100.0
jgi|Yarlip1|130955|fgenesh1_kg.18_#_152_#_TRINITY_DN11034_c0_g1_i1	gnl|YARROWIA|G1FV3-25705-MONOMER	100.0	100.0
jgi|Yarlip1|130954|fgenesh1_kg.18_#_151_#_TRINITY_DN1392_c0_g2_i1	gnl|YARROWIA|G1FV3-25704-MONOMER	100.0	100.0
jgi|Yarlip1|130952|fgenesh1_kg.18_#_149_#_TRINITY_DN6781_c0_g1_i1	gnl|YARROWIA|G1FV3-25703-MONOMER	100.0	100.0
jgi|Yarlip1|130946|fgenesh1_kg.18_#_143_#_TRINITY_DN5139_c0_g1_i1	gnl|YARROWIA|G1FV3-25699-MONOMER	100.0	100.0
jgi|Yarlip1|130942|fgenesh1_kg.18_#_139_#_TRINITY_DN11045_c1_g1_i1	gnl|YARROWIA|G1FV3-25698-MONOMER	100.0	100.0
jgi|Yarlip1|130941|fgenesh1_kg.18_#_138_#_TRINITY_DN11045_c0_g1_i1	gnl|YARROWIA|G1FV3-25697-MONOMER	100.0	100.0
jgi|Yarlip1|130939|fgenesh1_kg.18_#_136_#_TRINITY_DN8051_c0_g1_i1	gnl|YARROWIA|G1FV3-25695-MONOMER	100.0	100.0
jgi|Yarlip1|130919|fgenesh1_kg.18_#_116_#_TRINITY_DN5097_c0_g1_i1	gnl|YARROWIA|G1FV3-25682-MONOMER	100.0	100.0
jgi|Yarlip1|130936|fgenesh1_kg.18_#_133_#_TRINITY_DN1019_c0_g1_i1	gnl|YARROWIA|G1FV3-25694-MONOMER	100.0	100.0
jgi|Yarlip1|130934|fgenesh1_kg.18_#_131_#_TRINITY_DN1386_c0_g1_i1	gnl|YARROWIA|G1FV3-25693-MONOMER	100.0	100.0
jgi|Yarlip1|130933|fgenesh1_kg.18_#_130_#_TRINITY_DN7869_c1_g1_i1	gnl|YARROWIA|G1FV3-25692-MONOMER	100.0	100.0
jgi|Yarlip1|130932|fgenesh1_kg.18_#_129_#_TRINITY_DN2621_c0_g1_i1	gnl|YARROWIA|G1FV3-25691-MONOMER	100.0	100.0
jgi|Yarlip1|130927|fgenesh1_kg.18_#_124_#_TRINITY_DN6208_c0_g1_i1	gnl|YARROWIA|G1FV3-25690-MONOMER	100.0	100.0
jgi|Yarlip1|130925|fgenesh1_kg.18_#_122_#_TRINITY_DN6331_c0_g1_i1	gnl|YARROWIA|G1FV3-25689-MONOMER	100.0	100.0
jgi|Yarlip1|130924|fgenesh1_kg.18_#_121_#_TRINITY_DN9527_c0_g1_i1	gnl|YARROWIA|G1FV3-25688-MONOMER	100.0	100.0
jgi|Yarlip1|130922|fgenesh1_kg.18_#_119_#_TRINITY_DN9693_c0_g1_i1	gnl|YARROWIA|G1FV3-25684-MONOMER	100.0	100.0
jgi|Yarlip1|131053|fgenesh1_kg.19_#_22_#_TRINITY_DN4805_c0_g1_i1	gnl|YARROWIA|G1FV3-29066-MONOMER	100.0	100.0
jgi|Yarlip1|131059|fgenesh1_kg.19_#_28_#_TRINITY_DN6531_c0_g1_i1	gnl|YARROWIA|G1FV3-29056-MONOMER	100.0	100.0
jgi|Yarlip1|131064|fgenesh1_kg.19_#_33_#_TRINITY_DN1529_c0_g1_i1	gnl|YARROWIA|G1FV3-29054-MONOMER	100.0	100.0
jgi|Yarlip1|131338|fgenesh1_kg.20_#_118_#_TRINITY_DN1036_c0_g1_i1	gnl|YARROWIA|G1FV3-30829-MONOMER	100.0	100.0
jgi|Yarlip1|131359|fgenesh1_kg.20_#_139_#_TRINITY_DN6778_c0_g1_i1	gnl|YARROWIA|G1FV3-30846-MONOMER	100.0	100.0
jgi|Yarlip1|131356|fgenesh1_kg.20_#_136_#_TRINITY_DN10062_c0_g1_i1	gnl|YARROWIA|G1FV3-30843-MONOMER	100.0	100.0
jgi|Yarlip1|131354|fgenesh1_kg.20_#_134_#_TRINITY_DN9695_c0_g1_i1	gnl|YARROWIA|G1FV3-30841-MONOMER	100.0	100.0
jgi|Yarlip1|131352|fgenesh1_kg.20_#_132_#_TRINITY_DN6586_c0_g1_i1	gnl|YARROWIA|G1FV3-30840-MONOMER	100.0	100.0
jgi|Yarlip1|131351|fgenesh1_kg.20_#_131_#_TRINITY_DN8266_c0_g1_i1	gnl|YARROWIA|G1FV3-30839-MONOMER	100.0	100.0
jgi|Yarlip1|131350|fgenesh1_kg.20_#_130_#_TRINITY_DN6125_c0_g1_i1	gnl|YARROWIA|G1FV3-30837-MONOMER	100.0	100.0
jgi|Yarlip1|131342|fgenesh1_kg.20_#_122_#_TRINITY_DN10957_c0_g1_i1	gnl|YARROWIA|G1FV3-30831-MONOMER	100.0	100.0
jgi|Yarlip1|131339|fgenesh1_kg.20_#_119_#_TRINITY_DN4556_c0_g1_i1	gnl|YARROWIA|G1FV3-30830-MONOMER	100.0	100.0
jgi|Yarlip1|131337|fgenesh1_kg.20_#_117_#_TRINITY_DN1036_c1_g1_i1	gnl|YARROWIA|G1FV3-30828-MONOMER	100.0	100.0
jgi|Yarlip1|131363|fgenesh1_kg.20_#_143_#_TRINITY_DN953_c0_g1_i1	gnl|YARROWIA|G1FV3-30848-MONOMER	100.0	100.0
jgi|Yarlip1|131298|fgenesh1_kg.20_#_78_#_TRINITY_DN6254_c0_g1_i1	gnl|YARROWIA|G1FV3-30826-MONOMER	100.0	100.0
jgi|Yarlip1|131294|fgenesh1_kg.20_#_74_#_TRINITY_DN489_c0_g1_i1	gnl|YARROWIA|G1FV3-30823-MONOMER	100.0	100.0
jgi|Yarlip1|131293|fgenesh1_kg.20_#_73_#_TRINITY_DN9988_c0_g1_i1	gnl|YARROWIA|G1FV3-30822-MONOMER	100.0	100.0
jgi|Yarlip1|131290|fgenesh1_kg.20_#_70_#_TRINITY_DN4598_c0_g1_i1	gnl|YARROWIA|G1FV3-30820-MONOMER	100.0	100.0
jgi|Yarlip1|131286|fgenesh1_kg.20_#_66_#_TRINITY_DN5217_c0_g1_i1	gnl|YARROWIA|G1FV3-30817-MONOMER	100.0	100.0
jgi|Yarlip1|131282|fgenesh1_kg.20_#_62_#_TRINITY_DN9701_c0_g1_i1	gnl|YARROWIA|G1FV3-30815-MONOMER	100.0	100.0
jgi|Yarlip1|131277|fgenesh1_kg.20_#_57_#_TRINITY_DN2567_c0_g1_i1	gnl|YARROWIA|G1FV3-30814-MONOMER	100.0	100.0
jgi|Yarlip1|131270|fgenesh1_kg.20_#_50_#_TRINITY_DN6613_c0_g1_i1	gnl|YARROWIA|G1FV3-30810-MONOMER	100.0	100.0
jgi|Yarlip1|131361|fgenesh1_kg.20_#_141_#_TRINITY_DN8173_c0_g1_i1	gnl|YARROWIA|G1FV3-30847-MONOMER	100.0	100.0
jgi|Yarlip1|131365|fgenesh1_kg.20_#_145_#_TRINITY_DN2651_c0_g2_i1	gnl|YARROWIA|G1FV3-30849-MONOMER	100.0	100.0
jgi|Yarlip1|131264|fgenesh1_kg.20_#_44_#_TRINITY_DN7802_c0_g1_i1	gnl|YARROWIA|G1FV3-30807-MONOMER	100.0	100.0
jgi|Yarlip1|131422|fgenesh1_kg.20_#_202_#_TRINITY_DN3112_c0_g1_i1	gnl|YARROWIA|G1FV3-30886-MONOMER	100.0	100.0
jgi|Yarlip1|131478|fgenesh1_kg.21_#_26_#_TRINITY_DN2043_c1_g1_i1	gnl|YARROWIA|G1FV3-24538-MONOMER	100.0	100.0
jgi|Yarlip1|131473|fgenesh1_kg.21_#_21_#_TRINITY_DN3415_c0_g1_i1	gnl|YARROWIA|G1FV3-24533-MONOMER	100.0	100.0
jgi|Yarlip1|131471|fgenesh1_kg.21_#_19_#_TRINITY_DN5299_c0_g1_i1	gnl|YARROWIA|G1FV3-24531-MONOMER	100.0	100.0
jgi|Yarlip1|131461|fgenesh1_kg.21_#_9_#_TRINITY_DN6709_c0_g1_i1	gnl|YARROWIA|G1FV3-24526-MONOMER	100.0	100.0
jgi|Yarlip1|131456|fgenesh1_kg.21_#_4_#_TRINITY_DN5076_c1_g1_i1	gnl|YARROWIA|G1FV3-24523-MONOMER	100.0	100.0
jgi|Yarlip1|131436|fgenesh1_kg.20_#_216_#_TRINITY_DN6738_c0_g1_i1	gnl|YARROWIA|G1FV3-30899-MONOMER	100.0	100.0
jgi|Yarlip1|131434|fgenesh1_kg.20_#_214_#_TRINITY_DN9324_c0_g1_i1	gnl|YARROWIA|G1FV3-30895-MONOMER	100.0	100.0
jgi|Yarlip1|131425|fgenesh1_kg.20_#_205_#_TRINITY_DN3669_c0_g1_i1	gnl|YARROWIA|G1FV3-30888-MONOMER	100.0	100.0
jgi|Yarlip1|131405|fgenesh1_kg.20_#_185_#_TRINITY_DN2762_c0_g1_i1	gnl|YARROWIA|G1FV3-30876-MONOMER	100.0	100.0
jgi|Yarlip1|131368|fgenesh1_kg.20_#_148_#_TRINITY_DN1721_c0_g1_i1	gnl|YARROWIA|G1FV3-30850-MONOMER	100.0	100.0
jgi|Yarlip1|131404|fgenesh1_kg.20_#_184_#_TRINITY_DN5026_c0_g1_i1	gnl|YARROWIA|G1FV3-30874-MONOMER	100.0	100.0
jgi|Yarlip1|131402|fgenesh1_kg.20_#_182_#_TRINITY_DN3013_c0_g1_i1	gnl|YARROWIA|G1FV3-30872-MONOMER	100.0	100.0
jgi|Yarlip1|131399|fgenesh1_kg.20_#_179_#_TRINITY_DN6233_c0_g1_i1	gnl|YARROWIA|G1FV3-30871-MONOMER	100.0	100.0
jgi|Yarlip1|131396|fgenesh1_kg.20_#_176_#_TRINITY_DN8353_c0_g1_i1	gnl|YARROWIA|G1FV3-30869-MONOMER	100.0	100.0
jgi|Yarlip1|131391|fgenesh1_kg.20_#_171_#_TRINITY_DN2249_c0_g1_i1	gnl|YARROWIA|G1FV3-30868-MONOMER	100.0	100.0
jgi|Yarlip1|131388|fgenesh1_kg.20_#_168_#_TRINITY_DN3236_c0_g1_i1	gnl|YARROWIA|G1FV3-30866-MONOMER	100.0	100.0
jgi|Yarlip1|131371|fgenesh1_kg.20_#_151_#_TRINITY_DN3050_c1_g1_i1	gnl|YARROWIA|G1FV3-30853-MONOMER	100.0	100.0
jgi|Yarlip1|131369|fgenesh1_kg.20_#_149_#_TRINITY_DN600_c0_g1_i1	gnl|YARROWIA|G1FV3-30851-MONOMER	100.0	100.0
jgi|Yarlip1|131265|fgenesh1_kg.20_#_45_#_TRINITY_DN2577_c0_g1_i1	gnl|YARROWIA|G1FV3-30808-MONOMER	100.0	100.0
jgi|Yarlip1|131260|fgenesh1_kg.20_#_40_#_TRINITY_DN9505_c0_g1_i1	gnl|YARROWIA|G1FV3-30805-MONOMER	100.0	100.0
jgi|Yarlip1|131065|fgenesh1_kg.19_#_34_#_TRINITY_DN8503_c0_g1_i1	gnl|YARROWIA|G1FV3-29052-MONOMER	100.0	100.0
jgi|Yarlip1|131106|fgenesh1_kg.19_#_75_#_TRINITY_DN11264_c0_g1_i1	gnl|YARROWIA|G1FV3-29030-MONOMER	100.0	100.0
jgi|Yarlip1|131130|fgenesh1_kg.19_#_99_#_TRINITY_DN1208_c1_g1_i1	gnl|YARROWIA|G1FV3-29018-MONOMER	100.0	100.0
jgi|Yarlip1|131127|fgenesh1_kg.19_#_96_#_TRINITY_DN490_c0_g1_i1	gnl|YARROWIA|G1FV3-29020-MONOMER	100.0	100.0
jgi|Yarlip1|131125|fgenesh1_kg.19_#_94_#_TRINITY_DN7776_c0_g1_i1	gnl|YARROWIA|G1FV3-29021-MONOMER	100.0	100.0
jgi|Yarlip1|131124|fgenesh1_kg.19_#_93_#_TRINITY_DN1504_c0_g1_i1	gnl|YARROWIA|G1FV3-29022-MONOMER	100.0	100.0
jgi|Yarlip1|131121|fgenesh1_kg.19_#_90_#_TRINITY_DN1418_c0_g2_i1	gnl|YARROWIA|G1FV3-29023-MONOMER	100.0	100.0
jgi|Yarlip1|131116|fgenesh1_kg.19_#_85_#_TRINITY_DN6285_c0_g1_i1	gnl|YARROWIA|G1FV3-29025-MONOMER	100.0	100.0
jgi|Yarlip1|131115|fgenesh1_kg.19_#_84_#_TRINITY_DN1125_c0_g1_i1	gnl|YARROWIA|G1FV3-29026-MONOMER	100.0	100.0
jgi|Yarlip1|131112|fgenesh1_kg.19_#_81_#_TRINITY_DN10844_c2_g1_i1	gnl|YARROWIA|G1FV3-29027-MONOMER	100.0	100.0
jgi|Yarlip1|131104|fgenesh1_kg.19_#_73_#_TRINITY_DN421_c0_g1_i1	gnl|YARROWIA|G1FV3-29031-MONOMER	100.0	100.0
jgi|Yarlip1|131135|fgenesh1_kg.19_#_104_#_TRINITY_DN1961_c0_g1_i1	gnl|YARROWIA|G1FV3-29015-MONOMER	100.0	100.0
jgi|Yarlip1|131101|fgenesh1_kg.19_#_70_#_TRINITY_DN5028_c0_g1_i1	gnl|YARROWIA|G1FV3-29032-MONOMER	100.0	100.0
jgi|Yarlip1|131100|fgenesh1_kg.19_#_69_#_TRINITY_DN11535_c0_g1_i1	gnl|YARROWIA|G1FV3-29033-MONOMER	100.0	100.0
jgi|Yarlip1|131098|fgenesh1_kg.19_#_67_#_TRINITY_DN6603_c0_g1_i1	gnl|YARROWIA|G1FV3-29034-MONOMER	100.0	100.0
jgi|Yarlip1|131096|fgenesh1_kg.19_#_65_#_TRINITY_DN8018_c0_g1_i1	gnl|YARROWIA|G1FV3-29035-MONOMER	100.0	100.0
jgi|Yarlip1|131094|fgenesh1_kg.19_#_63_#_TRINITY_DN11425_c0_g1_i1	gnl|YARROWIA|G1FV3-29036-MONOMER	100.0	100.0
jgi|Yarlip1|131088|fgenesh1_kg.19_#_57_#_TRINITY_DN696_c0_g1_i1	gnl|YARROWIA|G1FV3-29040-MONOMER	100.0	100.0
jgi|Yarlip1|131072|fgenesh1_kg.19_#_41_#_TRINITY_DN6465_c0_g1_i1	gnl|YARROWIA|G1FV3-29048-MONOMER	100.0	100.0
jgi|Yarlip1|131069|fgenesh1_kg.19_#_38_#_TRINITY_DN2721_c1_g1_i3	gnl|YARROWIA|G1FV3-29049-MONOMER	100.0	100.0
jgi|Yarlip1|131133|fgenesh1_kg.19_#_102_#_TRINITY_DN6702_c0_g1_i1	gnl|YARROWIA|G1FV3-29016-MONOMER	100.0	100.0
jgi|Yarlip1|131143|fgenesh1_kg.19_#_112_#_TRINITY_DN1465_c0_g1_i1	gnl|YARROWIA|G1FV3-29009-MONOMER	100.0	100.0
jgi|Yarlip1|131257|fgenesh1_kg.20_#_37_#_TRINITY_DN4062_c0_g1_i1	gnl|YARROWIA|G1FV3-30800-MONOMER	100.0	100.0
jgi|Yarlip1|131178|fgenesh1_kg.19_#_147_#_TRINITY_DN2026_c0_g1_i1	gnl|YARROWIA|G1FV3-28982-MONOMER	100.0	100.0
jgi|Yarlip1|131247|fgenesh1_kg.20_#_27_#_TRINITY_DN5041_c0_g1_i1	gnl|YARROWIA|G1FV3-30792-MONOMER	100.0	100.0
jgi|Yarlip1|131246|fgenesh1_kg.20_#_26_#_TRINITY_DN9968_c0_g1_i1	gnl|YARROWIA|G1FV3-30791-MONOMER	100.0	100.0
jgi|Yarlip1|131227|fgenesh1_kg.20_#_7_#_TRINITY_DN11366_c0_g1_i1	gnl|YARROWIA|G1FV3-30775-MONOMER	100.0	100.0
jgi|Yarlip1|131226|fgenesh1_kg.20_#_6_#_TRINITY_DN658_c0_g1_i1	gnl|YARROWIA|G1FV3-30774-MONOMER	100.0	100.0
