#proteinId	iprId	iprDesc	domainDb	domainId	domainDesc	numHits	domainStarts	domainEnds	score
3177	\N	\N	SUPERFAMILY	SSF89009	\N	1	169,	299,	5.1E-37
3200	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	HMMPfam	PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	1	31,	68,	1.8E-9
3200	IPR007219	Transcription factor domain, fungi	HMMPfam	PF04082	Fungal specific transcription factor domain	1	206,	484,	1.5E-31
3200	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	ProSitePatterns	PS00463	Zn(2)-C6 fungal-type DNA-binding domain signature.	1	31,	59,	-
3200	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	ProSiteProfiles	PS50048	Zn(2)-C6 fungal-type DNA-binding domain profile.	1	31,	59,	10.766
3200	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	SMART	SM00066	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain	1	26,	70,	1.8E-11
3200	IPR007219	Transcription factor domain, fungi	SMART	SM00906	Fungal specific transcription factor domain	1	340,	414,	2.0E-15
3200	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	SUPERFAMILY	SSF57701	\N	1	22,	68,	3.53E-10
3468	IPR010816	Heterokaryon incompatibility Het-C	HMMPfam	PF07217	Heterokaryon incompatibility protein Het-C	1	3,	624,	1.5E-218
3667	\N	\N	SUPERFAMILY	SSF143865	\N	2	215,401,	293,499,	4.97E-26,4.97E-26
3941	IPR019542	Enhancer of polycomb-like, N-terminal	HMMPfam	PF10513	Enhancer of polycomb-like	1	14,	154,	4.3E-34
4212	IPR013244	Sec39 domain	HMMPfam	PF08314	Secretory pathway protein Sec39	1	3,	616,	1.3E-155
4910	IPR001247	Exoribonuclease, phosphorolytic domain 1	HMMPfam	PF01138	3' exoribonuclease family, domain 1	1	67,	203,	1.1E-12
4910	IPR020568	Ribosomal protein S5 domain 2-type fold	SUPERFAMILY	SSF54211	\N	1	17,	208,	3.33E-15
5417	IPR013860	Protein of unknown function DUF1752, fungi	HMMPfam	PF08550	Fungal protein of unknown function (DUF1752)	1	130,	158,	4.8E-10
5673	IPR002198	Short-chain dehydrogenase/reductase SDR	HMMPfam	PF00106	short chain dehydrogenase	1	8,	104,	6.7E-5
5673	IPR002347	Glucose/ribitol dehydrogenase	PRINTS	PR00081	Glucose/ribitol dehydrogenase family signature	3	9,96,168,	26,107,184,	5.9E-7,5.9E-7,5.9E-7
5673	\N	\N	SUPERFAMILY	SSF51735	\N	2	8,144,	117,288,	2.74E-19,2.74E-19
6513	IPR002876	Transcriptional regulator TACO1-like	HMMPfam	PF01709	Transcriptional regulator	1	25,	290,	5.6E-67
6513	IPR029072	YebC-like	SUPERFAMILY	SSF75625	\N	1	23,	290,	1.57E-64
6525	IPR003120	Transcription factor, STE-like	HMMPfam	PF02200	STE like transcription factor	1	27,	135,	4.9E-61
6525	IPR003120	Transcription factor, STE-like	SMART	SM00424	STE like transcription factors	1	26,	135,	5.3E-73
6632	IPR000679	Zinc finger, GATA-type	HMMPfam	PF00320	GATA zinc finger	1	264,	299,	1.2E-8
6632	IPR000679	Zinc finger, GATA-type	ProSiteProfiles	PS50114	GATA-type zinc finger domain profile.	1	258,	298,	10.053
6632	IPR000679	Zinc finger, GATA-type	SMART	SM00401	zinc finger binding to DNA consensus sequence [AT]GATA[AG]	1	258,	309,	4.3E-5
6632	\N	\N	SUPERFAMILY	SSF57716	\N	1	261,	321,	4.47E-11
6907	IPR021102	Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A	HMMPfam	PF12222	Peptide N-acetyl-beta-D-glucosaminyl asparaginase amidase A	1	34,	441,	2.9E-66
7268	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	HMMPfam	PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	1	37,	73,	6.1E-5
7268	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	ProSitePatterns	PS00463	Zn(2)-C6 fungal-type DNA-binding domain signature.	1	38,	68,	-
7268	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	ProSiteProfiles	PS50048	Zn(2)-C6 fungal-type DNA-binding domain profile.	1	38,	70,	9.171
7268	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	SUPERFAMILY	SSF57701	\N	1	30,	72,	7.06E-8
7497	IPR001680	WD40 repeat	HMMPfam	PF00400	WD domain, G-beta repeat	1	150,	180,	3.2E-4
7497	IPR019775	WD40 repeat, conserved site	ProSitePatterns	PS00678	Trp-Asp (WD) repeats signature.	2	69,318,	83,332,	-,-
7497	IPR001680	WD40 repeat	ProSiteProfiles	PS50082	Trp-Asp (WD) repeats profile.	2	147,306,	189,332,	10.609,8.637
7497	IPR017986	WD40-repeat-containing domain	ProSiteProfiles	PS50294	Trp-Asp (WD) repeats circular profile.	1	147,	189,	10.232
7497	IPR001680	WD40 repeat	SMART	SM00320	WD40 repeats	4	46,90,139,290,	82,132,180,331,	200.0,390.0,2.3E-4,7.3
7497	IPR017986	WD40-repeat-containing domain	SUPERFAMILY	SSF50978	\N	2	13,298,	235,336,	1.2E-26,1.2E-26
7599	IPR006139	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	HMMPfam	PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	1	71,	371,	2.3E-13
7599	IPR006140	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	HMMPfam	PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	1	189,	339,	7.7E-34
7599	\N	\N	SUPERFAMILY	SSF51735	\N	2	122,176,	146,340,	2.18E-38,2.18E-38
7599	\N	\N	SUPERFAMILY	SSF52283	\N	1	22,	142,	2.55E-13
7850	IPR002136	Ribosomal protein L4/L1e	HMMPfam	PF00573	Ribosomal protein L4/L1 family	1	62,	255,	3.7E-33
7850	IPR023574	Ribosomal protein L4 domain	SUPERFAMILY	SSF52166	\N	1	47,	257,	8.76E-38
8174	IPR002198	Short-chain dehydrogenase/reductase SDR	HMMPfam	PF00106	short chain dehydrogenase	1	30,	199,	4.0E-28
8174	IPR002198	Short-chain dehydrogenase/reductase SDR	PRINTS	PR00080	Short-chain dehydrogenase/reductase (SDR) superfamily signature	3	110,161,182,	121,169,201,	2.0E-13,2.0E-13,2.0E-13
8174	IPR002347	Glucose/ribitol dehydrogenase	PRINTS	PR00081	Glucose/ribitol dehydrogenase family signature	6	31,110,155,182,203,237,	48,121,171,201,220,257,	1.2E-35,1.2E-35,1.2E-35,1.2E-35,1.2E-35,1.2E-35
8174	IPR020904	Short-chain dehydrogenase/reductase, conserved site	ProSitePatterns	PS00061	Short-chain dehydrogenases/reductases family signature.	1	169,	197,	-
8174	\N	\N	SUPERFAMILY	SSF51735	\N	1	26,	273,	4.93E-59
8770	IPR018556	Domain of unknown function DUF2013	HMMPfam	PF09431	Protein of unknown function (DUF2013)	1	210,	351,	2.3E-46
8840	IPR006603	PQ-loop repeat	HMMPfam	PF04193	PQ loop repeat	2	27,167,	81,222,	6.6E-12,4.9E-14
8840	IPR006603	PQ-loop repeat	SMART	SM00679	Repeated motif present between transmembrane helices in cystinosin, yeast ERS1p, mannose-P-dolichol utilization defect 1, and other hypothetical proteins.	2	39,181,	70,212,	6.5E-4,1.2E-5
9202	IPR006073	GTP binding domain	HMMPfam	PF01926	50S ribosome-binding GTPase	1	136,	283,	1.7E-12
9202	IPR030393	EngB-type guanine nucleotide-binding (G) domain	ProSiteProfiles	PS51706	EngB-type guanine nucleotide-binding (G) domain profile.	1	133,	346,	22.381
9202	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	\N	2	133,186,	156,296,	1.16E-20,1.16E-20
9380	IPR024671	Autophagy-related protein 22-like	HMMPfam	PF11700	Vacuole effluxer Atg22 like	1	6,	582,	1.5E-193
9380	IPR020846	Major facilitator superfamily domain	SUPERFAMILY	SSF103473	\N	1	278,	582,	1.44E-25
11605	\N	\N	HMMPfam	PF05205	COMPASS (Complex proteins associated with Set1p) component shg1	1	6,	108,	6.3E-29
11945	IPR000719	Protein kinase domain	HMMPfam	PF00069	Protein kinase domain	1	460,	744,	3.8E-65
11945	IPR017441	Protein kinase, ATP binding site	ProSitePatterns	PS00107	Protein kinases ATP-binding region signature.	1	465,	488,	-
11945	IPR008271	Serine/threonine-protein kinase, active site	ProSitePatterns	PS00108	Serine/Threonine protein kinases active-site signature.	1	577,	589,	-
11945	IPR000719	Protein kinase domain	ProSiteProfiles	PS50011	Protein kinase domain profile.	1	459,	744,	42.096
11945	IPR002290	Serine/threonine/dual specificity protein kinase, catalytic  domain	SMART	SM00220	Serine/Threonine protein kinases, catalytic domain	1	459,	744,	1.2E-79
11945	IPR011009	Protein kinase-like domain	SUPERFAMILY	SSF56112	\N	1	453,	745,	4.99E-86
12800	IPR004328	BRO1 domain	HMMPfam	PF03097	BRO1-like domain	1	1,	401,	6.9E-92
12800	IPR025304	ALIX V-shaped domain	HMMPfam	PF13949	ALIX V-shaped domain binding to HIV	1	461,	757,	1.1E-51
12800	IPR004328	BRO1 domain	ProSiteProfiles	PS51180	BRO1 domain profile.	1	1,	412,	77.321
12800	IPR004328	BRO1 domain	SMART	SM01041	BRO1-like domain	1	1,	402,	6.6E-130
13125	IPR018844	Nucleolar protein Dnt1-like, N-terminal	HMMPfam	PF10407	Cdc14 phosphatase binding protein N-terminus	1	40,	109,	7.4E-25
13938	IPR020683	Ankyrin repeat-containing domain	HMMPfam	PF12796	Ankyrin repeats (3 copies)	1	387,	474,	2.6E-6
13938	\N	\N	HMMPfam	PF13637	Ankyrin repeats (many copies)	1	318,	358,	2.0E-5
13938	IPR002110	Ankyrin repeat	ProSiteProfiles	PS50088	Ankyrin repeat profile.	2	316,446,	348,478,	10.339,10.846
13938	IPR020683	Ankyrin repeat-containing domain	ProSiteProfiles	PS50297	Ankyrin repeat region circular profile.	1	316,	511,	15.433
13938	IPR003163	Transcription regulator HTH, APSES-type DNA-binding domain	ProSiteProfiles	PS51299	APSES-type HTH DNA-binding domain profile.	1	17,	124,	23.537
13938	IPR002110	Ankyrin repeat	SMART	SM00248	ankyrin repeats	2	316,446,	345,475,	0.29,0.13
13938	IPR020683	Ankyrin repeat-containing domain	SUPERFAMILY	SSF48403	\N	1	307,	486,	4.04E-32
13938	IPR003163	Transcription regulator HTH, APSES-type DNA-binding domain	SUPERFAMILY	SSF54616	\N	1	16,	129,	1.31E-38
14310	IPR009071	High mobility group box domain	HMMPfam	PF00505	HMG (high mobility group) box	1	25,	93,	1.7E-25
14310	\N	\N	PRINTS	PR00886	High mobility group (HMG1/HMG2) protein signature	3	40,58,77,	58,77,97,	1.6E-12,1.6E-12,1.6E-12
14310	IPR009071	High mobility group box domain	ProSiteProfiles	PS50118	HMG boxes A and B DNA-binding domains profile.	1	25,	93,	20.404
14310	IPR009071	High mobility group box domain	SMART	SM00398	high mobility group	1	24,	94,	1.1E-28
14310	IPR009071	High mobility group box domain	SUPERFAMILY	SSF47095	\N	1	10,	95,	4.68E-29
14955	IPR005078	Peptidase C54	HMMPfam	PF03416	Peptidase family C54	1	61,	376,	1.2E-87
14955	\N	\N	SUPERFAMILY	SSF54001	\N	2	9,179,	146,389,	5.89E-95,5.89E-95
14956	IPR000408	Regulator of chromosome condensation, RCC1	HMMPfam	PF00415	Regulator of chromosome condensation (RCC1) repeat	5	212,266,314,369,441,	262,311,366,438,491,	4.7E-10,3.9E-6,1.4E-10,8.2E-7,1.9E-5
14956	\N	\N	HMMPfam	PF13540	Regulator of chromosome condensation (RCC1) repeat	1	124,	152,	7.5E-7
14956	IPR000408	Regulator of chromosome condensation, RCC1	PRINTS	PR00633	Chromosome condensation regulator RCC1 signature	7	89,124,143,213,252,268,359,	105,137,159,229,268,282,377,	8.2E-42,8.2E-42,8.2E-42,8.2E-42,8.2E-42,8.2E-42,8.2E-42
14956	IPR000408	Regulator of chromosome condensation, RCC1	ProSitePatterns	PS00625	Regulator of chromosome condensation (RCC1) signature 1.	1	147,	158,	-
14956	IPR000408	Regulator of chromosome condensation, RCC1	ProSitePatterns	PS00626	Regulator of chromosome condensation (RCC1) signature 2.	2	301,356,	311,366,	-,-
14956	IPR000408	Regulator of chromosome condensation, RCC1	ProSiteProfiles	PS50012	Regulator of chromosome condensation (RCC1) repeat profile.	7	88,141,213,266,315,370,442,	140,212,265,314,369,441,495,	13.72,10.584,14.001,12.956,16.313,11.489,10.645
14956	IPR009091	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II	SUPERFAMILY	SSF50985	\N	1	85,	492,	1.23E-91
15221	IPR027706	Mitochondrial PGP phosphatase	HMMPfam	PF09419	Mitochondrial PGP phosphatase	1	7,	175,	1.3E-68
15221	IPR023214	HAD-like domain	SUPERFAMILY	SSF56784	\N	1	46,	174,	6.2E-9
15221	IPR010021	HAD-superfamily phosphatase, YqeG-like	TIGRFAM	TIGR01668	YqeG_hyp_ppase: HAD phosphatase, family IIIA	1	22,	186,	2.5E-33
15231	IPR005828	General substrate transporter	HMMPfam	PF00083	Sugar (and other) transporter	1	48,	495,	5.2E-79
15231	IPR005829	Sugar transporter, conserved site	ProSitePatterns	PS00216	Sugar transport proteins signature 1.	1	112,	128,	-
15231	IPR005829	Sugar transporter, conserved site	ProSitePatterns	PS00217	Sugar transport proteins signature 2.	1	154,	179,	-
15231	IPR020846	Major facilitator superfamily domain	ProSiteProfiles	PS50850	Major facilitator superfamily (MFS) profile.	1	47,	484,	26.776
15231	IPR020846	Major facilitator superfamily domain	SUPERFAMILY	SSF103473	\N	2	49,276,	249,493,	1.11E-49,1.11E-49
15231	IPR003663	Sugar/inositol transporter	TIGRFAM	TIGR00879	SP: MFS transporter, sugar porter (SP) family	1	36,	491,	2.8E-86
15603	IPR002156	Ribonuclease H domain	HMMPfam	PF00075	RNase H	1	17,	130,	3.5E-18
15603	IPR002156	Ribonuclease H domain	ProSiteProfiles	PS50879	RNase H domain profile.	1	14,	132,	20.841
15603	IPR012337	Ribonuclease H-like domain	SUPERFAMILY	SSF53098	\N	1	9,	131,	1.9E-29
15825	IPR008011	Complex 1 LYR protein	HMMPfam	PF05347	Complex 1 protein (LYR family)	1	10,	68,	2.9E-12
16195	IPR002745	Phosphotransferase KptA/Tpt1	HMMPfam	PF01885	RNA 2'-phosphotransferase, Tpt1 / KptA family	1	10,	203,	3.4E-55
16195	\N	\N	SUPERFAMILY	SSF56399	\N	1	13,	203,	1.01E-45
16196	IPR000330	SNF2-related	HMMPfam	PF00176	SNF2 family N-terminal domain	1	446,	742,	2.7E-85
16196	IPR001650	Helicase, C-terminal	HMMPfam	PF00271	Helicase conserved C-terminal domain	1	801,	880,	1.3E-16
16196	IPR001487	Bromodomain	HMMPfam	PF00439	Bromodomain	1	1158,	1227,	5.1E-19
16196	IPR014012	Helicase/SANT-associated, DNA binding	HMMPfam	PF07529	HSA	1	280,	352,	4.3E-13
16196	IPR029295	Snf2 ATP coupling domain	HMMPfam	PF14619	Snf2-ATP coupling, chromatin remodelling complex	1	979,	1047,	4.9E-18
16196	IPR001487	Bromodomain	PRINTS	PR00503	Bromodomain signature	3	1170,1186,1204,	1186,1204,1223,	3.5E-10,3.5E-10,3.5E-10
16196	IPR018359	Bromodomain, conserved site	ProSitePatterns	PS00633	Bromodomain signature.	1	1163,	1215,	-
16196	IPR001487	Bromodomain	ProSiteProfiles	PS50014	Bromodomain profile.	1	1161,	1223,	17.729
16196	IPR014001	Helicase superfamily 1/2, ATP-binding domain	ProSiteProfiles	PS51192	Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile.	1	455,	620,	25.58
16196	IPR001650	Helicase, C-terminal	ProSiteProfiles	PS51194	Superfamilies 1 and 2 helicase C-terminal domain profile.	1	770,	931,	17.789
16196	IPR014012	Helicase/SANT-associated, DNA binding	ProSiteProfiles	PS51204	HSA domain profile.	1	276,	352,	17.633
16196	IPR014978	Glutamine-Leucine-Glutamine, QLQ	ProSiteProfiles	PS51666	QLQ domain profile.	1	89,	124,	12.281
16196	IPR001487	Bromodomain	SMART	SM00297	bromo domain	1	1101,	1235,	3.1E-19
16196	IPR014001	Helicase superfamily 1/2, ATP-binding domain	SMART	SM00487	DEAD-like helicases superfamily	1	439,	631,	1.6E-35
16196	IPR001650	Helicase, C-terminal	SMART	SM00490	helicase superfamily c-terminal domain	1	796,	880,	2.1E-27
16196	IPR013999	HAS subgroup	SMART	SM00573	domain in helicases and associated with SANT domains	1	280,	352,	0.0094
16196	IPR001487	Bromodomain	SUPERFAMILY	SSF47370	\N	1	1105,	1233,	7.2E-27
16196	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	\N	2	419,672,	670,943,	7.66E-66,3.99E-70
16850	IPR007268	Rad9/Ddc1	HMMPfam	PF04139	Rad9	1	15,	258,	1.0E-23
16850	\N	\N	SUPERFAMILY	SSF55979	\N	1	4,	120,	4.71E-15
17183	IPR017853	Glycoside hydrolase superfamily	SUPERFAMILY	SSF51445	\N	2	129,321,	287,448,	9.48E-22,9.48E-22
17194	IPR000504	RNA recognition motif domain	HMMPfam	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	2	563,653,	619,724,	1.1E-10,5.3E-13
17194	\N	\N	HMMPfam	PF14259	RNA recognition motif (a.k.a. RRM, RBD, or RNP domain)	1	493,	554,	2.3E-6
17194	IPR000504	RNA recognition motif domain	ProSiteProfiles	PS50102	Eukaryotic RNA Recognition Motif (RRM) profile.	3	491,561,651,	560,635,731,	9.098,12.27,15.767
17194	IPR000504	RNA recognition motif domain	SMART	SM00360	RNA recognition motif	3	492,562,652,	556,631,727,	1.7E-6,2.4E-11,1.6E-15
17194	IPR003107	HAT (Half-A-TPR) repeat	SMART	SM00386	HAT (Half-A-TPR) repeats	2	135,357,	168,389,	160.0,0.0056
17194	\N	\N	SUPERFAMILY	SSF48452	\N	1	8,	428,	5.31E-8
17194	\N	\N	SUPERFAMILY	SSF54928	\N	2	489,644,	619,739,	1.97E-21,5.64E-18
17587	IPR000649	Initiation factor 2B-related	HMMPfam	PF01008	Initiation factor 2 subunit family	1	18,	294,	2.0E-70
17587	\N	\N	SUPERFAMILY	SSF100950	\N	1	3,	305,	2.64E-81
17805	IPR005828	General substrate transporter	HMMPfam	PF00083	Sugar (and other) transporter	2	100,336,	295,519,	2.7E-16,3.6E-15
17805	IPR020846	Major facilitator superfamily domain	ProSiteProfiles	PS50850	Major facilitator superfamily (MFS) profile.	1	91,	513,	19.502
17805	IPR020846	Major facilitator superfamily domain	SUPERFAMILY	SSF103473	\N	1	75,	520,	1.23E-44
17996	IPR008966	Adhesion domain	SUPERFAMILY	SSF49401	\N	1	21,	141,	1.99E-6
18034	IPR004046	Glutathione S-transferase, C-terminal	HMMPfam	PF00043	Glutathione S-transferase, C-terminal domain	1	141,	198,	3.0E-8
18034	IPR004045	Glutathione S-transferase, N-terminal	HMMPfam	PF02798	Glutathione S-transferase, N-terminal domain	1	1,	73,	1.5E-4
18034	IPR004045	Glutathione S-transferase, N-terminal	ProSiteProfiles	PS50404	Soluble glutathione S-transferase N-terminal domain profile.	1	1,	80,	14.852
18034	IPR010987	Glutathione S-transferase, C-terminal-like	ProSiteProfiles	PS50405	Soluble glutathione S-transferase C-terminal domain profile.	1	87,	217,	16.74
18034	IPR010987	Glutathione S-transferase, C-terminal-like	SUPERFAMILY	SSF47616	\N	1	71,	212,	9.47E-25
18034	IPR012336	Thioredoxin-like fold	SUPERFAMILY	SSF52833	\N	1	1,	76,	5.72E-13
18333	IPR029007	MobB-type P-loop domain	HMMPfam	PF03205	Molybdopterin guanine dinucleotide synthesis protein B	1	128,	189,	9.9E-5
18333	IPR010655	Pre-mRNA cleavage complex II Clp1	HMMPfam	PF06807	Pre-mRNA cleavage complex II protein Clp1	1	270,	446,	1.1E-19
18333	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	\N	2	122,127,	178,290,	3.41E-9,1.04E-5
18820	IPR001962	Asparagine synthase	HMMPfam	PF00733	Asparagine synthase	1	208,	451,	1.5E-47
18820	IPR000583	Class II glutamine amidotransferase domain	HMMPfam	PF13537	Glutamine amidotransferase domain	1	49,	136,	6.6E-8
18820	IPR017932	Glutamine amidotransferase type 2 domain	ProSiteProfiles	PS51278	Glutamine amidotransferase type 2 domain profile.	1	2,	162,	8.806
18820	\N	\N	SUPERFAMILY	SSF52402	\N	1	201,	458,	1.13E-31
18820	IPR029055	Nucleophile aminohydrolases, N-terminal	SUPERFAMILY	SSF56235	\N	1	1,	142,	7.03E-16
19003	IPR019759	Peptidase S24/S26A/S26B	HMMPfam	PF00717	Peptidase S24-like	1	41,	101,	6.2E-9
19003	IPR000223	Peptidase S26A, signal peptidase I	PRINTS	PR00727	Bacterial leader peptidase 1 (S26A) family signature	3	32,85,111,	48,97,130,	8.5E-13,8.5E-13,8.5E-13
19003	IPR019757	Peptidase S26A, signal peptidase I, lysine active site	ProSitePatterns	PS00760	Signal peptidases I lysine active site.	1	87,	99,	-
19003	IPR015927	Peptidase S24/S26A/S26B/S26C	SUPERFAMILY	SSF51306	\N	1	30,	147,	3.14E-31
19401	IPR000086	NUDIX hydrolase domain	HMMPfam	PF00293	NUDIX domain	1	50,	170,	1.2E-6
19401	IPR000086	NUDIX hydrolase domain	ProSiteProfiles	PS51462	Nudix hydrolase domain profile.	1	48,	271,	9.072
19401	IPR015797	NUDIX hydrolase domain-like	SUPERFAMILY	SSF55811	\N	3	31,136,186,	101,150,260,	4.16E-10,4.16E-10,4.16E-10
21351	IPR000504	RNA recognition motif domain	HMMPfam	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	1	344,	408,	4.8E-10
21351	IPR000504	RNA recognition motif domain	ProSiteProfiles	PS50102	Eukaryotic RNA Recognition Motif (RRM) profile.	1	340,	415,	12.236
21351	IPR000504	RNA recognition motif domain	SMART	SM00360	RNA recognition motif	1	341,	411,	2.6E-11
21351	\N	\N	SUPERFAMILY	SSF54928	\N	1	342,	418,	2.44E-15
21597	IPR002100	Transcription factor, MADS-box	HMMPfam	PF00319	SRF-type transcription factor (DNA-binding and dimerisation domain)	1	42,	90,	4.9E-24
21597	IPR002100	Transcription factor, MADS-box	PRINTS	PR00404	MADS domain signature	3	34,54,69,	54,69,90,	5.86E-20,5.86E-20,5.86E-20
21597	IPR002100	Transcription factor, MADS-box	ProSitePatterns	PS00350	MADS-box domain signature.	1	34,	88,	-
21597	IPR002100	Transcription factor, MADS-box	ProSiteProfiles	PS50066	MADS-box domain profile.	1	32,	92,	26.618
21597	IPR002100	Transcription factor, MADS-box	SMART	SM00432	\N	1	32,	91,	1.2E-31
21597	IPR002100	Transcription factor, MADS-box	SUPERFAMILY	SSF55455	\N	1	32,	107,	1.83E-27
21972	IPR003439	ABC transporter-like	HMMPfam	PF00005	ABC transporter	2	183,873,	340,1024,	1.1E-17,3.1E-19
21972	IPR013525	ABC-2 type transporter	HMMPfam	PF01061	ABC-2 type transporter	2	506,1172,	715,1380,	6.6E-45,3.9E-36
21972	IPR010929	CDR ABC transporter	HMMPfam	PF06422	CDR ABC transporter	1	724,	819,	8.3E-34
21972	IPR029481	ABC-transporter extracellular N-terminal domain	HMMPfam	PF14510	ABC-transporter extracellular N-terminal	1	93,	157,	2.7E-9
21972	IPR017871	ABC transporter, conserved site	ProSitePatterns	PS00211	ABC transporters family signature.	1	313,	327,	-
21972	IPR003439	ABC transporter-like	ProSiteProfiles	PS50893	ATP-binding cassette, ABC transporter-type domain profile.	2	166,854,	414,1096,	14.453,14.039
21972	IPR003593	AAA+ ATPase domain	SMART	SM00382	ATPases associated with a variety of cellular activities	2	190,882,	399,1073,	0.0066,9.7E-13
