#proteinId	gotermId	goName	gotermType	goAcc
548	2623	serine carboxypeptidase activity	molecular_function	GO:0004185
7599	9823	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0016616
7599	24535	NAD binding	molecular_function	GO:0051287
7599	22441	cofactor binding	molecular_function	GO:0048037
7599	6489	gluconate 2-dehydrogenase activity	molecular_function	GO:0008873
7599	6491	gluconate dehydrogenase activity	molecular_function	GO:0008875
7850	2227	structural constituent of ribosome	molecular_function	GO:0003735
7850	3827	intracellular	cellular_component	GO:0005622
7850	4025	ribosome	cellular_component	GO:0005840
7850	4556	translation	biological_process	GO:0006412
8174	5830	metabolic process	biological_process	GO:0008152
8174	9710	oxidoreductase activity	molecular_function	GO:0016491
8174	2723	3-oxoacyl-[acyl-carrier-protein] reductase activity	molecular_function	GO:0004316
9202	3737	GTP binding	molecular_function	GO:0005525
11945	3043	protein kinase activity	molecular_function	GO:0004672
11945	3736	ATP binding	molecular_function	GO:0005524
11945	4602	protein amino acid phosphorylation	biological_process	GO:0006468
11945	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
12800	3091	protein tyrosine phosphatase activity	molecular_function	GO:0004725
12800	3093	prenylated protein tyrosine phosphatase activity	molecular_function	GO:0004727
13938	2176	DNA binding	molecular_function	GO:0003677
13938	2196	transcription factor activity	molecular_function	GO:0003700
13938	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
14955	2635	cysteine-type endopeptidase activity	molecular_function	GO:0004197
14956	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
14956	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
14956	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
14956	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
14956	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
15221	6574	phosphatidylglycerophosphatase activity	molecular_function	GO:0008962
15231	3642	sugar:hydrogen symporter activity	molecular_function	GO:0005351
15231	6276	carbohydrate transport	biological_process	GO:0008643
15231	9320	membrane	cellular_component	GO:0016020
15231	3546	transporter activity	molecular_function	GO:0005215
15231	4927	transport	biological_process	GO:0006810
15231	9321	integral to membrane	cellular_component	GO:0016021
15603	2175	nucleic acid binding	molecular_function	GO:0003676
15603	2914	ribonuclease H activity	molecular_function	GO:0004523
16195	4535	tRNA splicing	biological_process	GO:0006388
16195	9970	transferase activity, transferring phosphorus-containing groups	molecular_function	GO:0016772
16195	212	tRNA 2'-phosphotransferase activity	molecular_function	GO:0000215
16196	2176	DNA binding	molecular_function	GO:0003677
16196	3736	ATP binding	molecular_function	GO:0005524
16196	2175	nucleic acid binding	molecular_function	GO:0003676
16196	2792	helicase activity	molecular_function	GO:0004386
16850	4440	DNA repair	biological_process	GO:0006281
16850	6470	exodeoxyribonuclease III activity	molecular_function	GO:0008853
17194	2175	nucleic acid binding	molecular_function	GO:0003676
17194	3827	intracellular	cellular_component	GO:0005622
17194	4541	RNA processing	biological_process	GO:0006396
17587	19375	cellular metabolic process	biological_process	GO:0044237
17587	20958	S-methyl-5-thioribose-1-phosphate isomerase activity	molecular_function	GO:0046523
17805	3546	transporter activity	molecular_function	GO:0005215
17805	4927	transport	biological_process	GO:0006810
17805	9321	integral to membrane	cellular_component	GO:0016021
18034	2770	glutathione transferase activity	molecular_function	GO:0004364
18333	20843	ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity	molecular_function	GO:0046404
18333	24975	GTP-dependent polyribonucleotide 5'-hydroxyl-kinase activity	molecular_function	GO:0051730
18333	24976	polynucleotide kinase activity	molecular_function	GO:0051731
18333	24977	polyribonucleotide kinase activity	molecular_function	GO:0051732
18333	24978	polydeoxyribonucleotide kinase activity	molecular_function	GO:0051733
18333	24979	ATP-dependent polynucleotide kinase activity	molecular_function	GO:0051734
18333	24980	GTP-dependent polynucleotide kinase activity	molecular_function	GO:0051735
18333	24981	ATP-dependent polyribonucleotide 5'-hydroxyl-kinase activity	molecular_function	GO:0051736
18333	24982	GTP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity	molecular_function	GO:0051737
18820	5830	metabolic process	biological_process	GO:0008152
18820	2508	asparagine synthase (glutamine-hydrolyzing) activity	molecular_function	GO:0004066
18820	4659	asparagine biosynthetic process	biological_process	GO:0006529
19003	4639	proteolysis	biological_process	GO:0006508
19003	5908	serine-type peptidase activity	molecular_function	GO:0008236
19003	9320	membrane	cellular_component	GO:0016020
19003	2700	subtilase activity	molecular_function	GO:0004289
19003	5812	pancreatic elastase activity	molecular_function	GO:0008132
19003	5915	plasminogen activator activity	molecular_function	GO:0008243
19003	6602	serine-type signal peptidase activity	molecular_function	GO:0008991
19003	10004	proprotein convertase activity	molecular_function	GO:0016808
19401	9985	hydrolase activity	molecular_function	GO:0016787
21351	2175	nucleic acid binding	molecular_function	GO:0003676
21597	2196	transcription factor activity	molecular_function	GO:0003700
21597	3838	nucleus	cellular_component	GO:0005634
21597	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
21597	19030	sequence-specific DNA binding	molecular_function	GO:0043565
21972	3736	ATP binding	molecular_function	GO:0005524
21972	10082	ATPase activity	molecular_function	GO:0016887
21972	162	nucleotide binding	molecular_function	GO:0000166
21972	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
21972	4927	transport	biological_process	GO:0006810
21972	9321	integral to membrane	cellular_component	GO:0016021
21972	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
21972	8752	molybdate transmembrane-transporting ATPase activity	molecular_function	GO:0015412
22538	9321	integral to membrane	cellular_component	GO:0016021
22759	2196	transcription factor activity	molecular_function	GO:0003700
22759	3838	nucleus	cellular_component	GO:0005634
22759	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
22759	5939	zinc ion binding	molecular_function	GO:0008270
23789	2175	nucleic acid binding	molecular_function	GO:0003676
23789	2914	ribonuclease H activity	molecular_function	GO:0004523
24130	3425	Rho guanyl-nucleotide exchange factor activity	molecular_function	GO:0005089
24130	3827	intracellular	cellular_component	GO:0005622
24130	17205	regulation of Rho protein signal transduction	biological_process	GO:0035023
24130	3419	small GTPase regulator activity	molecular_function	GO:0005083
25059	3736	ATP binding	molecular_function	GO:0005524
25059	10082	ATPase activity	molecular_function	GO:0016887
25059	162	nucleotide binding	molecular_function	GO:0000166
25059	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
25059	4927	transport	biological_process	GO:0006810
25059	9321	integral to membrane	cellular_component	GO:0016021
25059	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
25059	2450	ATP-dependent DNA helicase activity	molecular_function	GO:0004003
25059	2451	ATP-dependent RNA helicase activity	molecular_function	GO:0004004
25059	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
25059	5778	DNA-dependent ATPase activity	molecular_function	GO:0008094
25059	5860	RNA-dependent ATPase activity	molecular_function	GO:0008186
25059	8800	protein-transmembrane transporting ATPase activity	molecular_function	GO:0015462
25059	10273	single-stranded DNA-dependent ATP-dependent DNA helicase activity	molecular_function	GO:0017116
25059	18132	ATPase activity, coupled	molecular_function	GO:0042623
25059	18133	ATPase activity, uncoupled	molecular_function	GO:0042624
25059	18134	ATPase activity, coupled to transmembrane movement of ions	molecular_function	GO:0042625
25352	222	microtubule cytoskeleton organization and biogenesis	biological_process	GO:0000226
25352	663	spindle pole	cellular_component	GO:0000922
25352	4002	microtubule organizing center	cellular_component	GO:0005815
25873	2632	pepsin A activity	molecular_function	GO:0004194
25873	4639	proteolysis	biological_process	GO:0006508
25873	2628	aspartic-type endopeptidase activity	molecular_function	GO:0004190
26546	162	nucleotide binding	molecular_function	GO:0000166
26841	45	mannosyltransferase activity	molecular_function	GO:0000030
26841	4624	protein amino acid O-linked glycosylation	biological_process	GO:0006493
26841	9320	membrane	cellular_component	GO:0016020
26841	2607	dolichyl-phosphate-mannose-protein mannosyltransferase activity	molecular_function	GO:0004169
26973	2246	actin binding	molecular_function	GO:0003779
26973	9342	cellular component organization and biogenesis	biological_process	GO:0016043
26973	10211	Rho GTPase binding	molecular_function	GO:0017048
26973	12936	actin cytoskeleton organization and biogenesis	biological_process	GO:0030036
26973	3708	binding	molecular_function	GO:0005488
27093	21866	ATP-dependent NAD(P)H-hydrate dehydratase activity	molecular_function	GO:0047453
27869	2175	nucleic acid binding	molecular_function	GO:0003676
28278	2176	DNA binding	molecular_function	GO:0003677
28539	2176	DNA binding	molecular_function	GO:0003677
28539	2371	DNA topoisomerase type I activity	molecular_function	GO:0003917
28539	3891	chromosome	cellular_component	GO:0005694
28539	4424	DNA topological change	biological_process	GO:0006265
28539	4427	DNA unwinding during replication	biological_process	GO:0006268
28539	2372	DNA topoisomerase (ATP-hydrolyzing) activity	molecular_function	GO:0003918
30091	3088	protein serine/threonine phosphatase activity	molecular_function	GO:0004722
30091	4604	protein amino acid dephosphorylation	biological_process	GO:0006470
30091	5955	protein serine/threonine phosphatase complex	cellular_component	GO:0008287
30091	2290	catalytic activity	molecular_function	GO:0003824
30091	3087	phosphoprotein phosphatase activity	molecular_function	GO:0004721
30091	3089	calcium-dependent protein serine/threonine phosphatase activity	molecular_function	GO:0004723
30091	3090	magnesium-dependent protein serine/threonine phosphatase activity	molecular_function	GO:0004724
30091	4132	magnesium-dependent protein serine/threonine phosphatase complex	cellular_component	GO:0005963
30091	6080	CTD phosphatase activity	molecular_function	GO:0008420
30091	6240	calcium-dependent protein serine/threonine phosphatase regulator activity	molecular_function	GO:0008597
30091	10186	myosin phosphatase activity	molecular_function	GO:0017018
30091	10187	myosin phosphatase regulator activity	molecular_function	GO:0017020
30091	10190	myosin phosphatase complex	cellular_component	GO:0017023
30274	13917	heat shock protein binding	molecular_function	GO:0031072
30995	2290	catalytic activity	molecular_function	GO:0003824
30995	6667	biosynthetic process	biological_process	GO:0009058
30995	2971	pantetheine-phosphate adenylyltransferase activity	molecular_function	GO:0004595
31525	3708	binding	molecular_function	GO:0005488
31525	3935	mitochondrial inner membrane	cellular_component	GO:0005743
31525	4927	transport	biological_process	GO:0006810
31746	3043	protein kinase activity	molecular_function	GO:0004672
31746	3736	ATP binding	molecular_function	GO:0005524
31746	4602	protein amino acid phosphorylation	biological_process	GO:0006468
31746	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
32155	6667	biosynthetic process	biological_process	GO:0009058
32155	2783	glycolipid 2-alpha-mannosyltransferase activity	molecular_function	GO:0004377
32630	2176	DNA binding	molecular_function	GO:0003677
32630	162	nucleotide binding	molecular_function	GO:0000166
32630	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
32630	3736	ATP binding	molecular_function	GO:0005524
33363	3737	GTP binding	molecular_function	GO:0005525
33363	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
33363	3827	intracellular	cellular_component	GO:0005622
33363	8400	protein transport	biological_process	GO:0015031
33527	3043	protein kinase activity	molecular_function	GO:0004672
33527	3736	ATP binding	molecular_function	GO:0005524
33527	4602	protein amino acid phosphorylation	biological_process	GO:0006468
33527	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
33527	3073	MAP kinase activity	molecular_function	GO:0004707
33746	2175	nucleic acid binding	molecular_function	GO:0003676
33746	2216	RNA binding	molecular_function	GO:0003723
33746	3838	nucleus	cellular_component	GO:0005634
33746	4542	mRNA processing	biological_process	GO:0006397
34515	2888	monooxygenase activity	molecular_function	GO:0004497
34515	3721	iron ion binding	molecular_function	GO:0005506
34515	4283	electron transport	biological_process	GO:0006118
34515	12251	heme binding	molecular_function	GO:0020037
34515	9913	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	molecular_function	GO:0016712
34515	23642	unspecific monooxygenase activity	molecular_function	GO:0050381
34726	8851	tetracycline:hydrogen antiporter activity	molecular_function	GO:0015520
34726	9211	tetracycline transport	biological_process	GO:0015904
34726	9321	integral to membrane	cellular_component	GO:0016021
34726	21106	response to antibiotic	biological_process	GO:0046677
35179	2195	single-stranded DNA binding	molecular_function	GO:0003697
36771	3727	protein binding	molecular_function	GO:0005515
36771	5939	zinc ion binding	molecular_function	GO:0008270
36820	10079	carbon-nitrogen ligase activity, with glutamine as amido-N-donor	molecular_function	GO:0016884
36820	2483	amidase activity	molecular_function	GO:0004040
38595	4755	protein targeting to mitochondrion	biological_process	GO:0006626
38595	18223	mitochondrial intermembrane space protein transporter complex	cellular_component	GO:0042719
38595	19516	protein import into mitochondrial inner membrane	biological_process	GO:0045039
38776	3432	GTPase activator activity	molecular_function	GO:0005096
38776	3827	intracellular	cellular_component	GO:0005622
38776	24310	regulation of small GTPase mediated signal transduction	biological_process	GO:0051056
38776	3708	binding	molecular_function	GO:0005488
39308	3572	voltage-gated chloride channel activity	molecular_function	GO:0005247
39308	4937	chloride transport	biological_process	GO:0006821
39308	9320	membrane	cellular_component	GO:0016020
39308	3547	ion channel activity	molecular_function	GO:0005216
39487	2512	aspartate carbamoyltransferase activity	molecular_function	GO:0004070
39487	4369	'de novo' pyrimidine base biosynthetic process	biological_process	GO:0006207
39487	2528	carbamoyl-phosphate synthase activity	molecular_function	GO:0004086
39487	4924	nitrogen compound metabolic process	biological_process	GO:0006807
39487	2290	catalytic activity	molecular_function	GO:0003824
39487	3736	ATP binding	molecular_function	GO:0005524
39487	5830	metabolic process	biological_process	GO:0008152
39487	4650	amino acid metabolic process	biological_process	GO:0006520
39487	9805	amino acid binding	molecular_function	GO:0016597
39487	9943	carboxyl- or carbamoyltransferase activity	molecular_function	GO:0016743
39966	4180	galactose metabolic process	biological_process	GO:0006012
39966	9772	transcription activator activity	molecular_function	GO:0016563
39966	20381	positive regulation of transcription	biological_process	GO:0045941
41400	2356	DNA-directed RNA polymerase activity	molecular_function	GO:0003899
41400	4499	transcription	biological_process	GO:0006350
42366	2175	nucleic acid binding	molecular_function	GO:0003676
42721	4598	protein modification process	biological_process	GO:0006464
42721	2227	structural constituent of ribosome	molecular_function	GO:0003735
42721	3827	intracellular	cellular_component	GO:0005622
42721	4025	ribosome	cellular_component	GO:0005840
42721	4556	translation	biological_process	GO:0006412
43394	13917	heat shock protein binding	molecular_function	GO:0031072
43717	2196	transcription factor activity	molecular_function	GO:0003700
43717	3838	nucleus	cellular_component	GO:0005634
43717	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
43717	5939	zinc ion binding	molecular_function	GO:0008270
43717	2176	DNA binding	molecular_function	GO:0003677
43717	4499	transcription	biological_process	GO:0006350
43786	3727	protein binding	molecular_function	GO:0005515
43786	4595	protein complex assembly	biological_process	GO:0006461
43786	4994	intracellular protein transport	biological_process	GO:0006886
43786	9480	vesicle-mediated transport	biological_process	GO:0016192
43786	13025	clathrin adaptor complex	cellular_component	GO:0030131
43786	6212	protein transporter activity	molecular_function	GO:0008565
43786	4927	transport	biological_process	GO:0006810
44195	2176	DNA binding	molecular_function	GO:0003677
44195	15376	sulfiredoxin activity	molecular_function	GO:0032542
44505	2443	acyl-CoA dehydrogenase activity	molecular_function	GO:0003995
44505	4283	electron transport	biological_process	GO:0006118
44505	9834	oxidoreductase activity, acting on the CH-CH group of donors	molecular_function	GO:0016627
44505	5830	metabolic process	biological_process	GO:0008152
44505	23919	FAD binding	molecular_function	GO:0050660
44505	2319	2-methylacyl-CoA dehydrogenase activity	molecular_function	GO:0003853
44889	3099	pyridoxamine-phosphate oxidase activity	molecular_function	GO:0004733
44889	6253	pyridoxine biosynthetic process	biological_process	GO:0008615
44889	7744	FMN binding	molecular_function	GO:0010181
46146	162	nucleotide binding	molecular_function	GO:0000166
46146	3736	ATP binding	molecular_function	GO:0005524
46146	3930	cytoplasm	cellular_component	GO:0005737
46146	5721	tRNA processing	biological_process	GO:0008033
46146	10074	ligase activity, forming carbon-nitrogen bonds	molecular_function	GO:0016879
46195	2632	pepsin A activity	molecular_function	GO:0004194
46195	4639	proteolysis	biological_process	GO:0006508
46195	2628	aspartic-type endopeptidase activity	molecular_function	GO:0004190
46323	2594	dihydropteroate synthase activity	molecular_function	GO:0004156
46323	6988	folic acid and derivative biosynthetic process	biological_process	GO:0009396
46323	2314	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	molecular_function	GO:0003848
46323	2588	dihydroneopterin aldolase activity	molecular_function	GO:0004150
46323	4882	folic acid and derivative metabolic process	biological_process	GO:0006760
46323	19375	cellular metabolic process	biological_process	GO:0044237
46494	9985	hydrolase activity	molecular_function	GO:0016787
46494	3087	phosphoprotein phosphatase activity	molecular_function	GO:0004721
46494	3089	calcium-dependent protein serine/threonine phosphatase activity	molecular_function	GO:0004723
46494	3090	magnesium-dependent protein serine/threonine phosphatase activity	molecular_function	GO:0004724
46494	4132	magnesium-dependent protein serine/threonine phosphatase complex	cellular_component	GO:0005963
46494	6080	CTD phosphatase activity	molecular_function	GO:0008420
46494	6240	calcium-dependent protein serine/threonine phosphatase regulator activity	molecular_function	GO:0008597
46494	10186	myosin phosphatase activity	molecular_function	GO:0017018
46494	10187	myosin phosphatase regulator activity	molecular_function	GO:0017020
46494	10190	myosin phosphatase complex	cellular_component	GO:0017023
48428	3737	GTP binding	molecular_function	GO:0005525
48428	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
48428	8400	protein transport	biological_process	GO:0015031
48428	3827	intracellular	cellular_component	GO:0005622
48428	4994	intracellular protein transport	biological_process	GO:0006886
48428	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
48428	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
48428	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
48428	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
48428	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
48451	2700	subtilase activity	molecular_function	GO:0004289
48451	4639	proteolysis	biological_process	GO:0006508
48451	18306	identical protein binding	molecular_function	GO:0042802
48451	18579	negative regulation of catalytic activity	biological_process	GO:0043086
48451	2687	cerevisin activity	molecular_function	GO:0004262
48630	3727	protein binding	molecular_function	GO:0005515
48916	2632	pepsin A activity	molecular_function	GO:0004194
48916	4639	proteolysis	biological_process	GO:0006508
48916	2628	aspartic-type endopeptidase activity	molecular_function	GO:0004190
49037	9320	membrane	cellular_component	GO:0016020
49037	12906	metal ion transport	biological_process	GO:0030001
49037	21296	metal ion transmembrane transporter activity	molecular_function	GO:0046873
63824	2175	nucleic acid binding	molecular_function	GO:0003676
63824	2914	ribonuclease H activity	molecular_function	GO:0004523
64092	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
64092	4143	carbohydrate metabolic process	biological_process	GO:0005975
64092	2744	glucan 1,3-beta-glucosidase activity	molecular_function	GO:0004338
69241	2227	structural constituent of ribosome	molecular_function	GO:0003735
69241	3827	intracellular	cellular_component	GO:0005622
69241	4025	ribosome	cellular_component	GO:0005840
69241	4556	translation	biological_process	GO:0006412
74215	3546	transporter activity	molecular_function	GO:0005215
74215	4927	transport	biological_process	GO:0006810
74215	9321	integral to membrane	cellular_component	GO:0016021
80633	2996	lysophospholipase activity	molecular_function	GO:0004622
80633	3978	endoplasmic reticulum membrane	cellular_component	GO:0005789
80633	20907	phosphatidylcholine metabolic process	biological_process	GO:0046470
80633	4758	lipid metabolic process	biological_process	GO:0006629
80633	5830	metabolic process	biological_process	GO:0008152
80650	2916	ribonuclease P activity	molecular_function	GO:0004526
80789	2290	catalytic activity	molecular_function	GO:0003824
80789	2462	adenylosuccinate lyase activity	molecular_function	GO:0004018
80789	6758	purine ribonucleotide biosynthetic process	biological_process	GO:0009152
80967	4929	cation transport	biological_process	GO:0006812
80967	5991	cation transmembrane transporter activity	molecular_function	GO:0008324
80967	4930	potassium ion transport	biological_process	GO:0006813
80967	8446	potassium ion transmembrane transporter activity	molecular_function	GO:0015079
80967	9321	integral to membrane	cellular_component	GO:0016021
81001	2917	exonuclease activity	molecular_function	GO:0004527
81001	3827	intracellular	cellular_component	GO:0005622
81001	2175	nucleic acid binding	molecular_function	GO:0003676
81001	2909	nuclease activity	molecular_function	GO:0004518
81001	18089	phosphoric ester hydrolase activity	molecular_function	GO:0042578
81001	19229	T/G mismatch-specific endonuclease activity	molecular_function	GO:0043765
81006	2207	transcription coactivator activity	molecular_function	GO:0003713
81006	3838	nucleus	cellular_component	GO:0005634
81006	20381	positive regulation of transcription	biological_process	GO:0045941
81051	9480	vesicle-mediated transport	biological_process	GO:0016192
81057	2175	nucleic acid binding	molecular_function	GO:0003676
81075	2175	nucleic acid binding	molecular_function	GO:0003676
81075	9367	mRNA metabolic process	biological_process	GO:0016071
81115	3145	superoxide dismutase activity	molecular_function	GO:0004784
81199	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
81199	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
81199	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
81199	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
81199	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
81260	3737	GTP binding	molecular_function	GO:0005525
81260	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
81260	2378	GTPase activity	molecular_function	GO:0003924
81260	3727	protein binding	molecular_function	GO:0005515
81260	4994	intracellular protein transport	biological_process	GO:0006886
81260	5019	nucleocytoplasmic transport	biological_process	GO:0006913
81260	5250	signal transduction	biological_process	GO:0007165
81260	3827	intracellular	cellular_component	GO:0005622
81260	8400	protein transport	biological_process	GO:0015031
81263	3846	nuclear pore	cellular_component	GO:0005643
81263	10146	poly(A)+ mRNA export from nucleus	biological_process	GO:0016973
81273	3838	nucleus	cellular_component	GO:0005634
81323	9321	integral to membrane	cellular_component	GO:0016021
81375	2632	pepsin A activity	molecular_function	GO:0004194
81375	4639	proteolysis	biological_process	GO:0006508
81375	2628	aspartic-type endopeptidase activity	molecular_function	GO:0004190
81475	3043	protein kinase activity	molecular_function	GO:0004672
81475	3736	ATP binding	molecular_function	GO:0005524
81475	4602	protein amino acid phosphorylation	biological_process	GO:0006468
81475	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
81507	9321	integral to membrane	cellular_component	GO:0016021
81518	4927	transport	biological_process	GO:0006810
81543	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
81543	4143	carbohydrate metabolic process	biological_process	GO:0005975
81543	6082	beta-glucosidase activity	molecular_function	GO:0008422
81597	2905	nicotinate-nucleotide diphosphorylase (carboxylating) activity	molecular_function	GO:0004514
81597	7026	NAD biosynthetic process	biological_process	GO:0009435
81597	2907	nicotinate phosphoribosyltransferase activity	molecular_function	GO:0004516
81597	11623	nicotinate nucleotide biosynthetic process	biological_process	GO:0019357
81597	11629	pyridine nucleotide biosynthetic process	biological_process	GO:0019363
81598	2632	pepsin A activity	molecular_function	GO:0004194
81598	4639	proteolysis	biological_process	GO:0006508
81598	2628	aspartic-type endopeptidase activity	molecular_function	GO:0004190
81626	3101	pyrroline-5-carboxylate reductase activity	molecular_function	GO:0004735
81626	4691	proline biosynthetic process	biological_process	GO:0006561
81626	9710	oxidoreductase activity	molecular_function	GO:0016491
81636	3721	iron ion binding	molecular_function	GO:0005506
81636	4283	electron transport	biological_process	GO:0006118
81636	9321	integral to membrane	cellular_component	GO:0016021
81636	9710	oxidoreductase activity	molecular_function	GO:0016491
81636	23919	FAD binding	molecular_function	GO:0050660
81636	287	ferric-chelate reductase activity	molecular_function	GO:0000293
81661	2175	nucleic acid binding	molecular_function	GO:0003676
81661	3827	intracellular	cellular_component	GO:0005622
81661	5939	zinc ion binding	molecular_function	GO:0008270
81766	2175	nucleic acid binding	molecular_function	GO:0003676
81766	3838	nucleus	cellular_component	GO:0005634
81766	10375	histone-lysine N-methyltransferase activity	molecular_function	GO:0018024
81810	2175	nucleic acid binding	molecular_function	GO:0003676
81810	2792	helicase activity	molecular_function	GO:0004386
81810	3736	ATP binding	molecular_function	GO:0005524
81810	162	nucleotide binding	molecular_function	GO:0000166
81810	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
81810	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
81897	3868	transcription factor TFIID complex	cellular_component	GO:0005669
81897	9530	general RNA polymerase II transcription factor activity	molecular_function	GO:0016251
81897	19908	regulation of transcription	biological_process	GO:0045449
81899	3708	binding	molecular_function	GO:0005488
82022	3721	iron ion binding	molecular_function	GO:0005506
82022	4283	electron transport	biological_process	GO:0006118
82022	9321	integral to membrane	cellular_component	GO:0016021
82022	9710	oxidoreductase activity	molecular_function	GO:0016491
82022	23919	FAD binding	molecular_function	GO:0050660
82022	287	ferric-chelate reductase activity	molecular_function	GO:0000293
82037	3166	triacylglycerol lipase activity	molecular_function	GO:0004806
82037	4758	lipid metabolic process	biological_process	GO:0006629
82118	3708	binding	molecular_function	GO:0005488
82118	2246	actin binding	molecular_function	GO:0003779
82118	5107	cytoskeleton organization and biogenesis	biological_process	GO:0007010
82254	3642	sugar:hydrogen symporter activity	molecular_function	GO:0005351
82254	6276	carbohydrate transport	biological_process	GO:0008643
82254	9320	membrane	cellular_component	GO:0016020
82254	3546	transporter activity	molecular_function	GO:0005215
82254	4927	transport	biological_process	GO:0006810
82254	9321	integral to membrane	cellular_component	GO:0016021
82266	2227	structural constituent of ribosome	molecular_function	GO:0003735
